title,description,personas,category,image_url,text_cleaned,text_cleaned_lemmatized,website
Frontera Grill,"Chicago chef Rick Bayless won the James Beard Award for National Chef of the Year in 1995 and hasn’t slowed down since. In the past three decades, he’s made a lasting mark on Chicago’s culinary scene. His two signature restaurants,  and Topolobampo, specialize in modern interpretations of traditional Mexican food, along with tortas and churros at casual spot Xoco and mezcal-focused Bar Sotano. After several cookbooks and twelve seasons of a national TV show (Mexico — One Plate at a Time on PBS), Rick continues to bring new flavors home to Chicago.",luxury,top chefs,https://cdn.choosechicago.com/uploads/2019/06/Frontera-10FEB2016-GALDONES-PHOTOGRAPHY-10-e1565126095339-900x598.jpg,chicago chef rick bayless won the james beard award for national chef of the year in  and hasn t slowed down since in the past three decades he s made a lasting mark on chicago s culinary scene his two signature restaurants and topolobampo specialize in modern interpretations of traditional mexican food along with tortas and churros at casual spot xoco and mezcal focused bar sotano after several cookbooks and twelve seasons of a national tv show mexico one plate at a time on pbs rick continues to bring new flavors home to chicago ,chicago chef rick bayless james beard award national chef year slowed since past three decade made lasting mark chicago culinary scene two signature restaurant topolobampo specialize modern interpretation traditional mexican food along tortas churros casual spot xoco mezcal focused bar sotano several cookbook twelve season national tv show mexico one plate time pb rick continues bring new flavor home chicago,choosechicago
Girl & the Goat,"You might know her from Top Chef, where she was named the series’ first female winner in 2008. Since then, she’s been busy accumulating more accolades for her slew of acclaimed Chicago restaurants. Her flagship restaurant  has been one of the hottest tables in town since it opened in 2011. The restaurant and chef have since been honored with several prestigious James Beard nominations and a win for “Best Chef: Great Lakes.” Izard’s diverse roster of restaurants includes “reasonably authentic” Chinese spot Duck Duck Goat, lush Peruvian-inspired rooftop Cabra, and upscale diner Little Goat.",luxury,top chefs,https://cdn.choosechicago.com/uploads/2019/06/Stephanie-Izard-Credit-Lucy-Hewett-800x800.jpg,you might know her from top chef where she was named the series first female winner in  since then she s been busy accumulating more accolades for her slew of acclaimed chicago restaurants her flagship restaurant has been one of the hottest tables in town since it opened in  the restaurant and chef have since been honored with several prestigious james beard nominations and a win for “best chef great lakes izard s diverse roster of restaurants includes “reasonably authentic chinese spot duck duck goat lush peruvian inspired rooftop cabra and upscale diner little goat ,might know top chef named series first female winner since busy accumulating accolade slew acclaimed chicago restaurant flagship restaurant one hottest table town since opened restaurant chef since honored several prestigious james beard nomination win “ best chef great lake izard diverse roster restaurant includes “ reasonably authentic chinese spot duck duck goat lush peruvian inspired rooftop cabra upscale diner little goat,choosechicago
Alinea,"There’s probably no greater star chef practicing modernist cuisine in the world today than Grant Achatz. His Chicago restaurant, , serves a one-of-a-kind tasting menu complete with multi-sensory and interactive elements. A culinary mecca to many, it’s frequently ranked among the best restaurants in the world and a long-time holder of three prestigious Michelin stars.",luxury,top chefs,https://cdn.choosechicago.com/uploads/2019/08/Alinea_a083d00f-1240-4d65-a8a5-5c23209c0e58-900x600.jpg,there s probably no greater star chef practicing modernist cuisine in the world today than grant achatz his chicago restaurant serves a one of a kind tasting menu complete with multi sensory and interactive elements a culinary mecca to many it s frequently ranked among the best restaurants in the world and a long time holder of three prestigious michelin stars ,probably greater star chef practicing modernist cuisine world today grant achatz chicago restaurant serf one kind tasting menu complete multi sensory interactive element culinary mecca many frequently ranked among best restaurant world long time holder three prestigious michelin star,choosechicago
Aviary,"The Alinea Group’s cocktail lounge  is an equally innovative addition to the Chicago dining scene. Their West Loop restaurant Next, winner of the James Beard Award for Best New Restaurant and a Michelin star, features a new themed dining experience several times a year. Roister, a more casual spot, focuses on hearth-made dishes with global flavors. And in the same building, St. Clair Supper Club draws inspiration from its surroundings (Chicago’s former meat-packing district) for a menu that’s a carnivore’s dream.",luxury,top chefs,,the alinea group s cocktail lounge is an equally innovative addition to the chicago dining scene their west loop restaurant next winner of the james beard award for best new restaurant and a michelin star features a new themed dining experience several times a year roister a more casual spot focuses on hearth made dishes with global flavors and in the same building st clair supper club draws inspiration from its surroundings chicago s former meat packing district for a menu that s a carnivore s dream ,alinea group cocktail lounge equally innovative addition chicago dining scene west loop restaurant next winner james beard award best new restaurant michelin star feature new themed dining experience several time year roister casual spot focus hearth made dish global flavor building st clair supper club draw inspiration surroundings chicago former meat packing district menu carnivore dream,choosechicago
Virtue Restaurant & Bar,"A Chicago native, Erick Williams has made a lasting mark on his city’s food scene. His first venture,  in the historic Hyde Park neighborhood, showcases Williams’ talent for refined, soulful cuisine. The spot opened to immediate national acclaim and earned him the prestigious Best Chef: Great Lakes title at the James Beard Awards. His other restaurants include casual Mustard Seed Kitchen and Daisy’s Po-Boy and Tavern.",luxury,top chefs,https://cdn.choosechicago.com/uploads/2020/11/virtue-scaled-e1643131198198-900x513.jpg,a chicago native erick williams has made a lasting mark on his city s food scene his first venture in the historic hyde park neighborhood showcases williams talent for refined soulful cuisine the spot opened to immediate national acclaim and earned him the prestigious best chef great lakes title at the james beard awards his other restaurants include casual mustard seed kitchen and daisy s po boy and tavern ,chicago native erick williams made lasting mark city food scene first venture historic hyde park neighborhood showcase williams talent refined soulful cuisine spot opened immediate national acclaim earned prestigious best chef great lake title james beard award restaurant include casual mustard seed kitchen daisy po boy tavern,choosechicago
avec,"The multi-award-winning restauranteur is a man of many talents. His accolades include James Beard nods for Outstanding Chef and Best Chef of the Midwest, plus numerous recognitions from Food & Wine Magazine, Conde Nast Traveler, Michelin Guide, and more. Paul has helmed the kitchen at many of the city’s most beloved institutions, including , Big Star, The Publican, Publican Quality Meats, and Dove’s Luncheonette.",luxury,top chefs,https://cdn.choosechicago.com/uploads/2019/06/Paul-Kahan_Michael-Salisbury-900x600.jpg,the multi award winning restauranteur is a man of many talents his accolades include james beard nods for outstanding chef and best chef of the midwest plus numerous recognitions from food wine magazine conde nast traveler michelin guide and more paul has helmed the kitchen at many of the city s most beloved institutions including big star the publican publican quality meats and dove s luncheonette ,multi award winning restauranteur man many talent accolade include james beard nod outstanding chef best chef midwest plus numerous recognition food wine magazine conde nast traveler michelin guide paul helmed kitchen many city beloved institution including big star publican publican quality meat dove luncheonette,choosechicago
West Loop,"Critics have been heaping accolades onto her  restaurant, Monteverde Restaurant & Pastificio, since it opened in 2015. It was recognized as one of “America’s Best Restaurants” by Food & Wine and a top 50 finalist on Bon Appetit’s “Best New Restaurants” list. In 2017, Sarah received her first James Beard Foundation Award for Best Chef: Great Lakes.",luxury,top chefs,,critics have been heaping accolades onto her restaurant monteverde restaurant pastificio since it opened in  it was recognized as one of “america s best restaurants by food wine and a top  finalist on bon appetit s “best new restaurants list in  sarah received her first james beard foundation award for best chef great lakes ,critic heaping accolade onto restaurant monteverde restaurant pastificio since opened recognized one “ america best restaurant food wine top finalist bon appetit “ best new restaurant list sarah received first james beard foundation award best chef great lake,choosechicago
HaiSous Vietnamese Kitchen,"Thai Dang is bringing an authentic taste of Vietnam to Chicago. , his hit restaurant in the Pilsen neighborhood, is all about flavors and recipes from Dang’s childhood in Vietnam. His masterful execution and modern vision have earned him plenty of acclaim — HaiSous was a semifinalist for the James Beard Award for Best New Restaurant and a recipient of a Michelin Bib Gourmand. He runs HaiSous with his wife and director of operations, Danielle Dang. The couple also opened an all-day Vietnamese cafe and coffee bar, Cá Phe Dá, right next door.",luxury,top chefs,https://cdn.choosechicago.com/uploads/2021/04/Headshot_-Thai-Danielle-Standing-Smiling-2-900x624.jpg,thai dang is bringing an authentic taste of vietnam to chicago his hit restaurant in the pilsen neighborhood is all about flavors and recipes from dang s childhood in vietnam his masterful execution and modern vision have earned him plenty of acclaim haisous was a semifinalist for the james beard award for best new restaurant and a recipient of a michelin bib gourmand he runs haisous with his wife and director of operations danielle dang the couple also opened an all day vietnamese cafe and coffee bar cá phe dá right next door ,thai dang bringing authentic taste vietnam chicago hit restaurant pilsen neighborhood flavor recipe dang childhood vietnam masterful execution modern vision earned plenty acclaim haisous semifinalist james beard award best new restaurant recipient michelin bib gourmand run haisous wife director operation danielle dang couple also opened day vietnamese cafe coffee bar cá phe dá right next door,choosechicago
Elske,"is a labor of love for husband-and-wife duo David and Anna Posey. The restaurant, whose name means “love” in Danish, has received a coveted Michelin star for its high-quality cuisine and the #2 spot on Bon Appetit‘s list of Best New Restaurants. The pair also earned James Beard Award nominations for Best Chef: Great Lakes Region. Not bad for their first restaurant together.",luxury,top chefs,https://cdn.choosechicago.com/uploads/2019/08/ELSKE_Anna_and_David_Posey_headshot_Credit_GALDONES_PHOTOGRAPHY_54d3eebc-97ed-438f-b980-8596e5c11452-e1565125948719-900x722.jpg,s a labor of love for husband and wife duo david and anna posey the restaurant whose name means “love in danish has received a coveted michelin star for its high quality cuisine and the # spot on bon appetit‘s list of best new restaurants the pair also earned james beard award nominations for best chef great lakes region not bad for their first restaurant together ,labor love husband wife duo david anna posey restaurant whose name mean “ love danish received coveted michelin star high quality cuisine # spot bon appetit ‘ list best new restaurant pair also earned james beard award nomination best chef great lake region bad first restaurant together,choosechicago
West Loop,"The instant accolades might have something to do with the fact that the couple previously worked in some of Chicago’s best kitchens. David served as the former chef of Blackbird and Anna was the pastry chef at Publican. At Elske, a clean and modern space in the , the Poseys serve their perfectly executed, Danish-inspired cuisine. Get the nine-course tasting menu or choose from the a la carte menu — you’ll taste the love in everything you order.",luxury,top chefs,,the instant accolades might have something to do with the fact that the couple previously worked in some of chicago s best kitchens david served as the former chef of blackbird and anna was the pastry chef at publican at elske a clean and modern space in the the poseys serve their perfectly executed danish inspired cuisine get the nine course tasting menu or choose from the a la carte menu you ll taste the love in everything you order ,instant accolade might something fact couple previously worked chicago best kitchen david served former chef blackbird anna pastry chef publican elske clean modern space poseys serve perfectly executed danish inspired cuisine get nine course tasting menu choose la carte menu taste love everything order,choosechicago
